case,mesh,elements,mass_kg,relative_spatial_inertia_error,min_block_eigenvalue,min_mass_eigenvalue,min_stiffness_eigenvalue
source_16,source,16,177.32851668468285,0.0,0.10741022685098911,0.10741022685099111,17865.09795502691
uniform_16,uniform,16,177.32851668468288,1.6027715091612784e-16,0.10221100883232645,0.10221100883232648,14057.70737192269
uniform_20,uniform,20,177.32851668468288,1.6027715091612784e-16,0.07840847475496306,0.07840847475496217,11511.582688512159
uniform_24,uniform,24,177.32851668468288,1.6027715091612784e-16,0.06345043213030994,0.0634504321303104,9742.667844509813
uniform_30,uniform,30,177.32851668468288,1.6027715091612784e-16,0.0492331499096061,0.0492331499096051,7905.140629847902
uniform_32,uniform,32,177.32851668468285,1.2020786318709588e-16,0.045795868728002474,0.045795868728002585,7453.369859345589
uniform_36,uniform,36,177.32851668468285,8.013857545806392e-17,0.04017197392928463,0.04017197392928424,6669.767261866867
uniform_40,uniform,40,177.32851668468285,4.006928772903196e-17,0.03576775353824671,0.035767753538246655,6034.217935428271
uniform_48,uniform,48,177.3285166846829,3.205543018322557e-16,0.029320592854776322,0.0293205928547766,5068.515597222748
uniform_60,uniform,60,177.32851668468285,1.2020786318709588e-16,0.02306574969010271,0.02306574969010285,4084.7814178377685
uniform_80,uniform,80,177.32851668468277,4.808314527483835e-16,0.01700472588506504,0.017004725885065013,3091.3342259420615
uniform_120,uniform,120,177.32851668468282,1.6027715091612784e-16,0.011139050292886208,0.011139050292886222,2076.663388920191
uniform_160,uniform,160,177.32851668468285,1.2020786318709588e-16,0.00827995346196351,0.008279953461963427,1564.4984981075097
uniform_240,uniform,240,177.32851668468285,4.4076216501935154e-16,0.00516678463272661,0.00516678463272661,1047.0570035748026
uniform_320,uniform,320,177.32851668468288,2.003464386451598e-16,0.0029063163559088006,0.0029063163559088006,787.0915244618883
